sigla_uf,nome_municipio,codigo_ibge,mais_comum,candidaturas,n_mais_comum
BA,IGAPORÃ,2913408,BRANCA,2,2
BA,IGRAPIÚNA,2913457,PARDA,4,3
BA,IGUAÍ,2913507,PARDA,3,2
BA,ILHÉUS,2913606,PARDA,8,4
BA,INHAMBUPE,2913705,PARDA,3,2
BA,IPECAETÁ,2913804,PARDA,3,2
BA,IPIAÚ,2913903,PARDA,8,4
BA,IPIRÁ,2914000,PARDA,3,2
BA,IPUPIARA,2914109,PARDA,2,2
BA,IRAJUBA,2914208,PARDA,2,2
BA,IRAMAIA,2914307,PARDA,3,3
BA,IRAQUARA,2914406,PARDA,2,2
BA,IRARÁ,2914505,PARDA,5,3
BA,IRECÊ,2914604,PARDA,4,2
BA,ITABELA,2914653,VÁRIAS,2,1
BA,ITABERABA,2914703,BRANCA,4,3
BA,ITABUNA,2914802,PARDA,11,6
BA,ITACARÉ,2914901,VÁRIAS,5,2
BA,ITAETÉ,2915007,VÁRIAS,2,1
BA,ITAGI,2915106,PARDA,3,2
BA,ITAGIBÁ,2915205,VÁRIAS,6,3
BA,ITAGIMIRIM,2915304,PARDA,3,2
BA,ITAGUAÇU DA BAHIA,2915353,PARDA,3,3
BA,ITAJU DO COLÔNIA,2915403,BRANCA,2,2
BA,ITAJUÍPE,2915502,PARDA,3,2
BA,ITAMARAJU,2915601,PARDA,6,5
BA,ITAMARI,2915700,PARDA,2,2
BA,ITAMBÉ,2915809,BRANCA,5,2
BA,ITANAGRA,2915908,PARDA,4,2
BA,ITANHÉM,2916005,BRANCA,3,3
BA,ITAPARICA,2916104,PARDA,3,2
BA,ITAPÉ,2916203,VÁRIAS,2,1
BA,ITAPEBI,2916302,PARDA,3,2
BA,ITAPETINGA,2916401,PARDA,5,5
BA,ITAPICURU,2916500,VÁRIAS,2,1
BA,ITAPITANGA,2916609,PARDA,3,3
BA,ITAQUARA,2916708,PARDA,3,3
BA,ITARANTIM,2916807,PARDA,4,4
BA,ITATIM,2916856,VÁRIAS,2,1
BA,ITIRUÇU,2916906,BRANCA,2,2
BA,ITIÚBA,2917003,PARDA,3,3
BA,ITORORÓ,2917102,PARDA,3,3
BA,ITUAÇU,2917201,VÁRIAS,4,2
BA,ITUBERÁ,2917300,PARDA,3,2
BA,IUIU,2917334,VÁRIAS,2,1
BA,JABORANDI,2917359,PARDA,2,2
BA,JACARACI,2917409,PARDA,2,2
BA,JACOBINA,2917508,VÁRIAS,3,1
BA,JAGUAQUARA,2917607,PARDA,4,3
BA,JAGUARARI,2917706,VÁRIAS,2,1
BA,JAGUARIPE,2917805,PARDA,2,2
BA,JANDAÍRA,2917904,PARDA,3,2
BA,JEQUIÉ,2918001,BRANCA,6,4
BA,JEREMOABO,2918100,PARDA,2,2
BA,JIQUIRIÇÁ,2918209,PARDA,2,2
BA,JITAÚNA,2918308,PARDA,2,2
BA,JOÃO DOURADO,2918357,PARDA,2,2
BA,JUAZEIRO,2918407,PARDA,6,3
BA,JUCURUÇU,2918456,PARDA,2,2
BA,JUSSARA,2918506,VÁRIAS,2,1
BA,JUSSARI,2918555,VÁRIAS,2,1
BA,JUSSIAPE,2918605,BRANCA,3,2
BA,LAFAIETE COUTINHO,2918704,VÁRIAS,2,1
BA,LAGOA REAL,2918803,VÁRIAS,2,1
BA,LAJE,2918902,BRANCA,3,2
BA,LAJEDÃO,2919009,PARDA,3,2
BA,LAJEDINHO,2919058,VÁRIAS,2,1
BA,LAJEDO DO TABOCAL,2918753,PARDA,3,2
BA,LAMARÃO,2919108,PARDA,3,3
BA,LAPÃO,2919157,PARDA,2,2
BA,LAURO DE FREITAS,2919207,BRANCA,6,3
BA,LENÇÓIS,2919306,PARDA,3,3
BA,LICÍNIO DE ALMEIDA,2919405,BRANCA,1,1
BA,LIVRAMENTO DE NOSSA SENHORA,2919504,BRANCA,3,2
BA,LUÍS EDUARDO MAGALHÃES,2919553,BRANCA,3,3
BA,MACAJUBA,2919603,BRANCA,2,2
BA,MACARANI,2919702,PARDA,4,3
BA,MACAÚBAS,2919801,PARDA,3,3
BA,MACURURÉ,2919900,PARDA,3,2
BA,MADRE DE DEUS,2919926,VÁRIAS,2,1
BA,MAETINGA,2919959,VÁRIAS,2,1
BA,MAIQUINIQUE,2920007,VÁRIAS,2,1
BA,MAIRI,2920106,PARDA,2,2
BA,MALHADA,2920205,PARDA,2,2
BA,MALHADA DE PEDRAS,2920304,VÁRIAS,2,1
BA,MANOEL VITORINO,2920403,VÁRIAS,4,2
BA,MANSIDÃO,2920452,PARDA,4,4
BA,MARACÁS,2920502,PARDA,4,3
BA,MARAGOGIPE,2920601,PRETA,6,3
BA,MARAÚ,2920700,PARDA,3,2
BA,MARCIONÍLIO SOUZA,2920809,PARDA,4,2
BA,MASCOTE,2920908,PARDA,3,3
BA,MATA DE SÃO JOÃO,2921005,PARDA,4,4
BA,MATINA,2921054,BRANCA,2,2
BA,MEDEIROS NETO,2921104,VÁRIAS,4,2
BA,MIGUEL CALMON,2921203,BRANCA,3,2
BA,MILAGRES,2921302,PARDA,3,2
BA,MIRANGABA,2921401,PARDA,5,3
BA,MIRANTE,2921450,BRANCA,2,2
BA,MONTE SANTO,2921500,VÁRIAS,2,1
BA,MORPARÁ,2921609,VÁRIAS,2,1
BA,MORRO DO CHAPÉU,2921708,BRANCA,4,2
BA,MORTUGABA,2921807,BRANCA,2,2
BA,MUCUGÊ,2921906,PARDA,3,3
BA,MUCURI,2922003,VÁRIAS,7,3
BA,MULUNGU DO MORRO,2922052,PARDA,2,2
BA,MUNDO NOVO,2922102,VÁRIAS,2,1
BA,MUNIZ FERREIRA,2922201,PARDA,2,2
BA,MUQUÉM DO SÃO FRANCISCO,2922250,VÁRIAS,2,1
BA,MURITIBA,2922300,PARDA,4,3
BA,MUTUÍPE,2922409,VÁRIAS,4,2
BA,NAZARÉ,2922508,PARDA,5,3
BA,NILO PEÇANHA,2922607,PARDA,3,2
BA,NORDESTINA,2922656,BRANCA,5,4
BA,NOVA CANAÃ,2922706,BRANCA,5,3
BA,NOVA FÁTIMA,2922730,VÁRIAS,2,1
BA,NOVA IBIÁ,2922755,PARDA,2,2
BA,NOVA ITARANA,2922805,PARDA,2,2
BA,NOVA REDENÇÃO,2922854,PARDA,4,2
BA,NOVA SOURE,2922904,PARDA,4,3
BA,NOVA VIÇOSA,2923001,BRANCA,5,3
BA,NOVO HORIZONTE,2923035,VÁRIAS,2,1
BA,NOVO TRIUNFO,2923050,VÁRIAS,2,1
BA,OLINDINA,2923100,PARDA,3,2
BA,OLIVEIRA DOS BREJINHOS,2923209,PARDA,2,2
BA,OURIÇANGAS,2923308,VÁRIAS,2,1
BA,OUROLÂNDIA,2923357,PARDA,2,2
BA,PALMAS DE MONTE ALTO,2923407,VÁRIAS,4,2
BA,PALMEIRAS,2923506,PARDA,4,3
BA,PARAMIRIM,2923605,BRANCA,3,2
BA,PARATINGA,2923704,PARDA,2,2
BA,PARIPIRANGA,2923803,VÁRIAS,2,1
BA,PAU BRASIL,2923902,PARDA,4,3
BA,PAULO AFONSO,2924009,PARDA,6,4
BA,PÉ DE SERRA,2924058,PARDA,3,3
BA,PEDRÃO,2924108,BRANCA,2,2
BA,PEDRO ALEXANDRE,2924207,VÁRIAS,2,1
BA,PIATÃ,2924306,VÁRIAS,2,1
BA,PILÃO ARCADO,2924405,BRANCA,2,2
BA,PINDAÍ,2924504,PARDA,2,2
BA,PINDOBAÇU,2924603,BRANCA,3,2
BA,PINTADAS,2924652,PARDA,2,2
BA,PIRAÍ DO NORTE,2924678,VÁRIAS,2,1
BA,PIRIPÁ,2924702,BRANCA,3,2
BA,PIRITIBA,2924801,PARDA,2,2
BA,PLANALTINO,2924900,VÁRIAS,2,1
BA,PLANALTO,2925006,PARDA,4,3
BA,POÇÕES,2925105,PARDA,6,3
