codigo_ibge,candidaturas,nome_municipio,capital,sigla_uf,feminino,masculino,prop_feminino
2914109,2,IPUPIARA,0,BA,0,2,0
2914208,2,IRAJUBA,0,BA,0,2,0
2914307,3,IRAMAIA,0,BA,1,2,0.3333333333333333
2914406,2,IRAQUARA,0,BA,1,1,0.5
2914505,5,IRARÁ,0,BA,1,4,0.2
2914604,4,IRECÊ,0,BA,0,4,0
2914653,2,ITABELA,0,BA,0,2,0
2914703,4,ITABERABA,0,BA,0,4,0
2914802,11,ITABUNA,0,BA,1,10,0.09090909090909091
2914901,5,ITACARÉ,0,BA,1,4,0.2
2915007,2,ITAETÉ,0,BA,0,2,0
2915106,3,ITAGI,0,BA,0,3,0
2915205,6,ITAGIBÁ,0,BA,3,3,0.5
2915304,3,ITAGIMIRIM,0,BA,1,2,0.3333333333333333
2915353,3,ITAGUAÇU DA BAHIA,0,BA,0,3,0
2915403,2,ITAJU DO COLÔNIA,0,BA,0,2,0
2915502,3,ITAJUÍPE,0,BA,1,2,0.3333333333333333
2915601,6,ITAMARAJU,0,BA,1,5,0.16666666666666666
2915700,2,ITAMARI,0,BA,0,2,0
2915809,5,ITAMBÉ,0,BA,2,3,0.4
2915908,4,ITANAGRA,0,BA,1,3,0.25
2916005,3,ITANHÉM,0,BA,1,2,0.3333333333333333
2916104,3,ITAPARICA,0,BA,1,2,0.3333333333333333
2916203,2,ITAPÉ,0,BA,0,2,0
2916302,3,ITAPEBI,0,BA,0,3,0
2916401,5,ITAPETINGA,0,BA,0,5,0
2916500,2,ITAPICURU,0,BA,0,2,0
2916609,3,ITAPITANGA,0,BA,0,3,0
2916708,3,ITAQUARA,0,BA,0,3,0
2916807,4,ITARANTIM,0,BA,0,4,0
2916856,2,ITATIM,0,BA,1,1,0.5
2916906,2,ITIRUÇU,0,BA,1,1,0.5
2917003,3,ITIÚBA,0,BA,1,2,0.3333333333333333
2917102,3,ITORORÓ,0,BA,0,3,0
2917201,4,ITUAÇU,0,BA,0,4,0
2917300,3,ITUBERÁ,0,BA,0,3,0
2917334,2,IUIU,0,BA,1,1,0.5
2917359,2,JABORANDI,0,BA,1,1,0.5
2917409,2,JACARACI,0,BA,0,2,0
2917508,3,JACOBINA,0,BA,1,2,0.3333333333333333
2917607,4,JAGUAQUARA,0,BA,1,3,0.25
2917706,2,JAGUARARI,0,BA,0,2,0
2917805,2,JAGUARIPE,0,BA,0,2,0
2917904,3,JANDAÍRA,0,BA,0,3,0
2918001,6,JEQUIÉ,0,BA,1,5,0.16666666666666666
2918100,2,JEREMOABO,0,BA,1,1,0.5
2918209,2,JIQUIRIÇÁ,0,BA,0,2,0
2918308,2,JITAÚNA,0,BA,1,1,0.5
2918357,2,JOÃO DOURADO,0,BA,0,2,0
2918407,6,JUAZEIRO,0,BA,1,5,0.16666666666666666
2918456,2,JUCURUÇU,0,BA,0,2,0
2918506,2,JUSSARA,0,BA,0,2,0
2918555,2,JUSSARI,0,BA,0,2,0
2918605,3,JUSSIAPE,0,BA,0,3,0
2918704,2,LAFAIETE COUTINHO,0,BA,0,2,0
2918803,2,LAGOA REAL,0,BA,0,2,0
2918902,3,LAJE,0,BA,0,3,0
2919009,3,LAJEDÃO,0,BA,0,3,0
2919058,2,LAJEDINHO,0,BA,0,2,0
2918753,3,LAJEDO DO TABOCAL,0,BA,0,3,0
2919108,3,LAMARÃO,0,BA,1,2,0.3333333333333333
2919157,2,LAPÃO,0,BA,0,2,0
2919207,6,LAURO DE FREITAS,0,BA,2,4,0.3333333333333333
2919306,3,LENÇÓIS,0,BA,2,1,0.6666666666666666
2919405,1,LICÍNIO DE ALMEIDA,0,BA,0,1,0
2919504,3,LIVRAMENTO DE NOSSA SENHORA,0,BA,0,3,0
2919553,3,LUÍS EDUARDO MAGALHÃES,0,BA,0,3,0
2919603,2,MACAJUBA,0,BA,0,2,0
2919702,4,MACARANI,0,BA,1,3,0.25
2919801,3,MACAÚBAS,0,BA,0,3,0
2919900,3,MACURURÉ,0,BA,1,2,0.3333333333333333
2919926,2,MADRE DE DEUS,0,BA,0,2,0
2919959,2,MAETINGA,0,BA,1,1,0.5
2920007,2,MAIQUINIQUE,0,BA,0,2,0
2920106,2,MAIRI,0,BA,0,2,0
2920205,2,MALHADA,0,BA,0,2,0
2920304,2,MALHADA DE PEDRAS,0,BA,1,1,0.5
2920403,4,MANOEL VITORINO,0,BA,2,2,0.5
2920452,4,MANSIDÃO,0,BA,0,4,0
2920502,4,MARACÁS,0,BA,0,4,0
2920601,6,MARAGOGIPE,0,BA,0,6,0
2920700,3,MARAÚ,0,BA,1,2,0.3333333333333333
2920809,4,MARCIONÍLIO SOUZA,0,BA,0,4,0
2920908,3,MASCOTE,0,BA,0,3,0
2921005,4,MATA DE SÃO JOÃO,0,BA,1,3,0.25
2921054,2,MATINA,0,BA,1,1,0.5
2921104,4,MEDEIROS NETO,0,BA,1,3,0.25
2921203,3,MIGUEL CALMON,0,BA,0,3,0
2921302,3,MILAGRES,0,BA,0,3,0
2921401,5,MIRANGABA,0,BA,1,4,0.2
2921450,2,MIRANTE,0,BA,0,2,0
2921500,2,MONTE SANTO,0,BA,1,1,0.5
2921609,2,MORPARÁ,0,BA,0,2,0
2921708,4,MORRO DO CHAPÉU,0,BA,3,1,0.75
2921807,2,MORTUGABA,0,BA,0,2,0
2921906,3,MUCUGÊ,0,BA,2,1,0.6666666666666666
2922003,7,MUCURI,0,BA,1,6,0.14285714285714285
2922052,2,MULUNGU DO MORRO,0,BA,0,2,0
2922102,2,MUNDO NOVO,0,BA,0,2,0
2922201,2,MUNIZ FERREIRA,0,BA,0,2,0
2922250,2,MUQUÉM DO SÃO FRANCISCO,0,BA,1,1,0.5
2922300,4,MURITIBA,0,BA,2,2,0.5
2922409,4,MUTUÍPE,0,BA,0,4,0
2922508,5,NAZARÉ,0,BA,2,3,0.4
2922607,3,NILO PEÇANHA,0,BA,2,1,0.6666666666666666
2922656,5,NORDESTINA,0,BA,1,4,0.2
2922706,5,NOVA CANAÃ,0,BA,2,3,0.4
2922730,2,NOVA FÁTIMA,0,BA,0,2,0
2922755,2,NOVA IBIÁ,0,BA,0,2,0
2922805,2,NOVA ITARANA,0,BA,0,2,0
2922854,4,NOVA REDENÇÃO,0,BA,1,3,0.25
