sigla_uf,nome_municipio,codigo_ibge,capital,descricao_cor_raca,n,candidaturas
AM,SÃO SEBASTIÃO DO UATUMÃ,1303957,0,PARDA,4,5
AM,SILVES,1304005,0,PARDA,5,5
AM,TABATINGA,1304062,0,BRANCA,2,5
AM,TABATINGA,1304062,0,PARDA,3,5
AM,TAPAUÁ,1304104,0,PARDA,2,2
AM,TEFÉ,1304203,0,BRANCA,3,7
AM,TEFÉ,1304203,0,PARDA,4,7
AM,TONANTINS,1304237,0,BRANCA,1,4
AM,TONANTINS,1304237,0,PARDA,3,4
AM,UARINI,1304260,0,BRANCA,1,3
AM,UARINI,1304260,0,PARDA,2,3
AM,URUCARÁ,1304302,0,BRANCA,1,5
AM,URUCARÁ,1304302,0,PARDA,4,5
AM,URUCURITUBA,1304401,0,PARDA,3,3
AP,ÁGUA BRANCA DO AMAPARI,1600154,0,BRANCA,1,3
AP,ÁGUA BRANCA DO AMAPARI,1600154,0,PARDA,2,3
AP,AMAPÁ,1600105,0,BRANCA,2,3
AP,AMAPÁ,1600105,0,PARDA,1,3
AP,CALÇOENE,1600204,0,BRANCA,2,5
AP,CALÇOENE,1600204,0,PARDA,2,5
AP,CALÇOENE,1600204,0,PRETA,1,5
AP,CUTIAS,1600212,0,PARDA,5,5
AP,FERREIRA GOMES,1600238,0,PARDA,4,5
AP,FERREIRA GOMES,1600238,0,PRETA,1,5
AP,ITAUBAL,1600253,0,PARDA,3,6
AP,ITAUBAL,1600253,0,PRETA,3,6
AP,LARANJAL DO JARI,1600279,0,BRANCA,1,5
AP,LARANJAL DO JARI,1600279,0,PARDA,3,5
AP,LARANJAL DO JARI,1600279,0,PRETA,1,5
AP,MACAPÁ,1600303,1,BRANCA,3,10
AP,MACAPÁ,1600303,1,PARDA,6,10
AP,MACAPÁ,1600303,1,PRETA,1,10
AP,MAZAGÃO,1600402,0,PARDA,4,6
AP,MAZAGÃO,1600402,0,PRETA,2,6
AP,OIAPOQUE,1600501,0,BRANCA,1,7
AP,OIAPOQUE,1600501,0,INDÍGENA,1,7
AP,OIAPOQUE,1600501,0,PARDA,2,7
AP,OIAPOQUE,1600501,0,PRETA,3,7
AP,PORTO GRANDE,1600535,0,BRANCA,2,7
AP,PORTO GRANDE,1600535,0,PARDA,5,7
AP,PRACUÚBA,1600550,0,BRANCA,1,5
AP,PRACUÚBA,1600550,0,PARDA,3,5
AP,PRACUÚBA,1600550,0,SEM INFORMAÇÃO,1,5
AP,SANTANA,1600600,0,BRANCA,2,9
AP,SANTANA,1600600,0,PARDA,6,9
AP,SANTANA,1600600,0,SEM INFORMAÇÃO,1,9
AP,SERRA DO NAVIO,1600055,0,BRANCA,1,5
AP,SERRA DO NAVIO,1600055,0,PARDA,4,5
AP,TARTARUGALZINHO,1600709,0,BRANCA,1,4
AP,TARTARUGALZINHO,1600709,0,PARDA,3,4
AP,VITÓRIA DO JARI,1600808,0,BRANCA,3,7
AP,VITÓRIA DO JARI,1600808,0,PARDA,4,7
BA,ABAÍRA,2900108,0,BRANCA,1,2
BA,ABAÍRA,2900108,0,PARDA,1,2
BA,ABARÉ,2900207,0,PARDA,2,3
BA,ABARÉ,2900207,0,PRETA,1,3
BA,ACAJUTIBA,2900306,0,PARDA,2,2
BA,ADUSTINA,2900355,0,BRANCA,3,3
BA,ÁGUA FRIA,2900405,0,BRANCA,1,4
BA,ÁGUA FRIA,2900405,0,PARDA,1,4
BA,ÁGUA FRIA,2900405,0,PRETA,2,4
BA,AIQUARA,2900603,0,PARDA,2,2
BA,ALAGOINHAS,2900702,0,BRANCA,1,7
BA,ALAGOINHAS,2900702,0,PARDA,4,7
BA,ALAGOINHAS,2900702,0,PRETA,2,7
BA,ALCOBAÇA,2900801,0,BRANCA,1,3
BA,ALCOBAÇA,2900801,0,PARDA,2,3
BA,ALMADINA,2900900,0,BRANCA,2,4
BA,ALMADINA,2900900,0,PARDA,2,4
BA,AMARGOSA,2901007,0,BRANCA,1,2
BA,AMARGOSA,2901007,0,PARDA,1,2
BA,AMÉLIA RODRIGUES,2901106,0,BRANCA,1,5
BA,AMÉLIA RODRIGUES,2901106,0,PARDA,3,5
BA,AMÉLIA RODRIGUES,2901106,0,PRETA,1,5
BA,AMÉRICA DOURADA,2901155,0,BRANCA,1,4
BA,AMÉRICA DOURADA,2901155,0,PARDA,2,4
BA,AMÉRICA DOURADA,2901155,0,PRETA,1,4
BA,ANAGÉ,2901205,0,BRANCA,2,7
BA,ANAGÉ,2901205,0,PARDA,4,7
BA,ANAGÉ,2901205,0,PRETA,1,7
BA,ANDARAÍ,2901304,0,BRANCA,1,2
BA,ANDARAÍ,2901304,0,PARDA,1,2
BA,ANDORINHA,2901353,0,BRANCA,3,3
BA,ANGICAL,2901403,0,BRANCA,1,3
BA,ANGICAL,2901403,0,PARDA,1,3
BA,ANGICAL,2901403,0,PRETA,1,3
BA,ANGUERA,2901502,0,PARDA,2,2
BA,ANTAS,2901601,0,BRANCA,1,2
BA,ANTAS,2901601,0,PARDA,1,2
BA,ANTÔNIO CARDOSO,2901700,0,BRANCA,2,4
BA,ANTÔNIO CARDOSO,2901700,0,PARDA,1,4
BA,ANTÔNIO CARDOSO,2901700,0,PRETA,1,4
BA,ANTÔNIO GONÇALVES,2901809,0,BRANCA,1,3
BA,ANTÔNIO GONÇALVES,2901809,0,PARDA,1,3
BA,ANTÔNIO GONÇALVES,2901809,0,PRETA,1,3
BA,APORÁ,2901908,0,PARDA,3,3
BA,APUAREMA,2901957,0,PARDA,2,2
BA,ARAÇÁS,2902054,0,BRANCA,2,4
BA,ARAÇÁS,2902054,0,PARDA,1,4
BA,ARAÇÁS,2902054,0,PRETA,1,4
BA,ARACATU,2902005,0,BRANCA,1,2
BA,ARACATU,2902005,0,PARDA,1,2
BA,ARACI,2902104,0,BRANCA,2,3
BA,ARACI,2902104,0,PARDA,1,3
BA,ARAMARI,2902203,0,PARDA,3,3
BA,ARATACA,2902252,0,BRANCA,1,3
BA,ARATACA,2902252,0,PARDA,2,3
BA,ARATUÍPE,2902302,0,BRANCA,1,3
BA,ARATUÍPE,2902302,0,PRETA,2,3
BA,AURELINO LEAL,2902401,0,PARDA,2,2
BA,BAIANÓPOLIS,2902500,0,PARDA,4,4
BA,BAIXA GRANDE,2902609,0,BRANCA,2,2
BA,BANZAÊ,2902658,0,PARDA,2,2
BA,BARRA,2902708,0,BRANCA,2,4
BA,BARRA,2902708,0,PARDA,2,4
BA,BARRA DA ESTIVA,2902807,0,BRANCA,1,3
BA,BARRA DA ESTIVA,2902807,0,PARDA,2,3
BA,BARRA DO CHOÇA,2902906,0,BRANCA,1,4
BA,BARRA DO CHOÇA,2902906,0,PARDA,2,4
BA,BARRA DO CHOÇA,2902906,0,PRETA,1,4
BA,BARRA DO MENDES,2903003,0,BRANCA,1,2
BA,BARRA DO MENDES,2903003,0,PARDA,1,2
BA,BARRA DO ROCHA,2903102,0,BRANCA,1,2
BA,BARRA DO ROCHA,2903102,0,PARDA,1,2
BA,BARREIRAS,2903201,0,BRANCA,1,4
BA,BARREIRAS,2903201,0,PARDA,3,4
BA,BARRO ALTO,2903235,0,BRANCA,1,2
BA,BARRO ALTO,2903235,0,PARDA,1,2
